organization,DISTRICT_ID,TYPE,COUNTY,COGO_ACRES,PLAT_ACRES,DIGITIZED,STATUS,CREATION_DATE,BNDRY_CHANGE,METHOD,SOURCE,ACCURACY,COMMENTS,INITIALS,UPDATED,TX_CNTY,FIPS,SHAPEAREA,SHAPELEN
Harris County MUD 382,3738410,MUD,Harris,212.385216,213.7775,N,A,2002/12/13 00:00:00+00,2016/04/06 00:00:00+00,MB,FN,P, ,SPT,2018/11/19 00:00:00+00,101,201,8.01E-05,0.089505659
Ellis County FWSD 3,2839100,FWSD,Ellis,1019.836304,1020.259,N,A,2007/03/05 00:00:00+00,,MB,FN,NP,ellis_co_fwsd3.shp,SFA,2009/09/17 00:00:00+00,70,139,0.000395264,0.107834604
Dickens County WCID 1,2726000,WCID,Dickens,119789.6572,0,Y,A,1962/09/14 00:00:00+00,,OSD,FN,NP,dickens_co_wcid1.shp,SFA,2009/09/17 00:00:00+00,63,125,0.047067942,1.488974361
Comal County Water Improvement District 1,2393750,WCID,Comal,2445.475243,2445,Y,I,2009/06/19 00:00:00+00,,OSD,FN,NP,comal_co_wid1.shp,SFA,2009/09/18 00:00:00+00,46,91,0.000922886,0.152884741
Harris County MUD 148,3737354,MUD,Harris,755.1457424,756.3048,N,A,1976/12/20 00:00:00+00,2016/11/08 00:00:00+00,MB,FN,NP, ,SPT,2018/11/26 00:00:00+00,101,201,0.000285457,0.135441124
Montgomery County MUD 6,5857100,MUD,Montgomery,1365.870842,1359.3374,N,A,1971/06/04 00:00:00+00,2008/09/24 00:00:00+00,MB,FN,NP,montgomerymud6-*.txt; fn typos,kp,2009/03/30 00:00:00+00,170,339,0.000517533,0.24008604
Harris County MUD 421,3737200,MUD,Harris,502.7593166,501.124,N,I,2007/03/01 00:00:00+00,2008/02/21 00:00:00+00,MB,FN,P,harrismud421_*.txt,sae,2009/03/30 00:00:00+00,101,201,0.000189898,0.135546818
Cinco MUD 14,2286742,MUD,Fort Bend,695.2024097,695.022,N,A,1986/08/20 00:00:00+00,1993/11/03 00:00:00+00,E,DGN,P,NA,mc,,79,157,0.000262331,0.0987924
Fort Bend County MUD 161,3079313,MUD,Fort Bend,219.30588,218.508,N,A,2006/02/14 00:00:00+00,2008/10/03 00:00:00+00,MB,FN,NP,ftbdmud161_*.txt,sae,2009/03/31 00:00:00+00,79,157,8.28E-05,0.039250962
Cameron County Irrigation District 2,1985095,ID,Cameron,79073.28771,0,Y,A,1916/08/15 00:00:00+00,,OSD,MAP,NP,cameron_co_id2.shp,SFA,,31,61,0.02888877,1.576455835
Cameron County Irrigation District 6,1985100,ID,Cameron,33381.76506,0,Y,A,1922/01/17 00:00:00+00,,OSD,MAP,NP,cameron_co_id6.shp,SFA,,31,61,0.012184763,0.856427035
Engelman Irrigation District,2890690,ID,Hidalgo,11253.13357,0,Y,A,1929/03/18 00:00:00+00,,OSD,MAP,NP,engelman_id.shp,SFA,,108,215,0.004117565,0.40691663
Hidalgo & Cameron Counties Irrigation District 9,4438000,ID,Hidalgo,88114.88803,0,Y,A,1927/10/03 00:00:00+00,,OSD,MAP,NP,hidalgo_cameron_co_id9.shp,SFA,,108,215,0.03220184,0.954765384
Hidalgo County Irrigation District 1,4445180,ID,Hidalgo,38586.61103,0,Y,A,1923/05/11 00:00:00+00,,OSD,MAP,NP,hidalgo_co_id1.shp,SFA,,108,215,0.014112753,0.826812356
Hidalgo County Irrigation District 16,4445294,ID,Hidalgo,13665.6152,0,Y,A,1946/01/08 00:00:00+00,,OSD,MAP,NP,hidalgo_co_id16.shp,SFA,,108,215,0.005000492,0.419321267
Hidalgo County Irrigation District 2,4445200,ID,Hidalgo,72572.11131,0,Y,A,1920/07/12 00:00:00+00,,OSD,MAP,NP,hidalgo_co_id2.shp,SFA,,108,215,0.026518183,0.875747729
Hidalgo County Irrigation District 6,4445260,ID,Hidalgo,22962.63487,0,Y,A,1927/02/21 00:00:00+00,,OSD,MAP,NP,hidalgo_co_id6.shp,SFA,,108,215,0.008397889,0.553216208
Santa Cruz Irrigation District 15,7538000,ID,Hidalgo,39634.15757,0,Y,A,1941/10/28 00:00:00+00,,OSD,MAP,NP,santa_cruz_id15.shp,SFA,,108,215,0.014507846,0.801043579
Valley Acres Irrigation District,8240000,ID,Hidalgo,11269.48069,0,Y,A,1951/05/18 00:00:00+00,,OSD,MAP,NP,valley_acres_id.shp,SFA,,108,215,0.004121135,0.264039882
Deaf Smith County FWSD 1,2693500,FWSD,Deaf Smith,0.30552132,0,Y,A,1979/01/22 00:00:00+00,,OSD,OTH,NP,deaf_smith_fwsd1.shp,SFA,,59,117,1.22E-07,0.001372159
Four Seasons Ranch MUD 1,3099550,MUD,Denton,975.5671193,979.408,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,four_seasons_ranch_mud1.shp,SFA,2009/09/17 00:00:00+00,61,121,0.000382616,0.095833606
Fort Bend County WCID 10,3087500,WCID,Fort Bend,154.6919614,154.4687,N,I,2009/05/27 00:00:00+00,,MB,FN,NP,ft_bend_co_wcid10.shp,SFA,2009/09/17 00:00:00+00,79,157,5.83E-05,0.04882193
Roman Forest Consolidated MUD,7319000,MUD,Montgomery,790.4163175,804.563,N,A,1971/06/04 00:00:00+00,,SHP,OTH,NP,roman_forest_cons_mud.shp,SFA,2009/02/19 00:00:00+00,170,339,0.000299594,0.08921432
San Patricio County Navigation District 1,7525000,ND,San Patricio,19685.17829,0,Y,A,1958/02/08 00:00:00+00,,OSD,MB,NP,san_patricio_nd1.shp,SFA,2009/02/19 00:00:00+00,205,409,0.007303178,0.493426655
Port Freeport,7128700,ND,Brazoria,752123.3071,0,Y,A,2007/03/28 00:00:00+00,,OSD,FN,NP,port_freeport.shp,SFA,,20,39,0.282200974,2.838160678
Port of Houston Authority,7133000,ND,Harris,1137467.557,0,Y,A,1927/06/06 00:00:00+00,,OSD,OTH,NP,port_houston_auth.shp,SFA,,101,201,0.42977146,4.070690178
Velasco Drainage District,8272000,FWSD,Brazoria,107000.0116,0,Y,A,1930/02/17 00:00:00+00,,OSD,SHP/FN,NP,velasco_dd.shp,SFA,2009/02/19 00:00:00+00,20,39,0.040105116,1.344891213
Victoria County Drainage District 2,8280000,DD,Victoria,27775.87733,0,N,A,1913/05/05 00:00:00+00,,SHP,OTH,NP,victoria_dd2.shp,SFA,2009/02/19 00:00:00+00,235,469,0.010376003,0.477398829
North Montauge County Water Supply District,5990000,WCID,Montague,1410.145714,0,Y,A,1954/07/12 00:00:00+00,,MB,FN,NP,nmontaguewsd.shp,SFA,,169,337,0.000555517,0.141093728
Red River Authority of Texas,7226000,RA,Archer,26087370.17,0,N,A,1959/08/11 00:00:00+00,,D,OTH,NP,red_river_authority.shp,SFA,,5,9,10.36491013,31.56826311
Brazos River Authority,1685000,RA,McLennan,27269337.75,0,N,A,1929/09/30 00:00:00+00,,D,SHP,NP,brazos_ra.shp,SFA,,155,309,10.57269279,25.21511708
Chambers-Liberty Counties Navigation District,2280000,ND,Chambers,432989.7451,441024,N,A,1944/07/10 00:00:00+00,,MB,FN,NP,chamberslibertynd.shp,SFA,,36,71,0.163626084,2.74627867
Comal County Water Recreational District 1,2390000,OTH,Comal,148.4169995,0,Y,A,1937/03/18 00:00:00+00,,OSD,MAP,NP,comalwrd1.shp,SFA,,46,91,5.60E-05,0.033854358
Lamar County Water Supply District,5336000,MUD,Lamar,568500.8289,544437,N,A,1967/06/17 00:00:00+00,,MAP,TXDOT,NP,lamarwsd.shp,SFA,,139,227,0.223651754,3.816814097
Upper Neches River Municipal Water Authority,8130000,RA,Anderson,25102.23011,0,N,A,1953/05/13 00:00:00+00,,OSD,FN,NP,upper_neches_river-mwa.shp,SFA,,1,1,0.009678504,1.475208406
San Patricio County Drainage District,7518000,DD,San Patricio,452898.2007,480172,Y,A,1969/05/13 00:00:00+00,,OSD,OTH,NP,san_patricio_dd.shp,SFA,,205,409,0.168155411,3.031779562
San Patricio MWD,7520000,OTH,San Patricio,31913.87663,0,Y,A,1951/06/02 00:00:00+00,,OSD,OTH,NP,san_patricio_mwd.shp,SFA,,205,409,0.011841495,1.713059684
Spectrum Management District,7588500,MMD,Harris,1096.546251,0,Y,A,2007/09/01 00:00:00+00,,OSD,MAP,NP,spectrum_md.shp,SFA,,101,201,0.000413227,0.085522254
Victoria County Navigation District,8300000,ND,Victoria,568746.899,0,Y,A,1947/02/10 00:00:00+00,,OSD,OTH,NP,victoria_nd.shp,SFA,,235,469,0.212711592,2.748579827
York Valley MUD,8815000,MUD,Guadalupe,2083.779852,2077.391,N,A,2007/09/01 00:00:00+00,,MB,FN,NP,york_valley_mud.shp,SFA,,94,187,0.00078638,0.145794841
Union Valley Ranch MUD of Hunt County,8095000,MUD,Hunt,653.623944,653.46,N,A,2005/05/24 00:00:00+00,,MB,FN,NP,uinon_valley_ranch_mud.shp,SFA,2009/06/03 00:00:00+00,116,231,0.000254963,0.103268573
Waller County MUD 3,8344063,MUD,Waller,351.6194662,350.342,Y,I,2007/09/01 00:00:00+00,,OSD,FN,NP,waller_mud3.shp,SFA,2009/06/03 00:00:00+00,237,473,0.00013274,0.067459777
Wilson County FWSD 1 of Wilson County Texas,8679850,FWSD,Wilson,145.6176593,145.576,N,I,2007/12/10 00:00:00+00,,MB,FN,NP,wilson_fwsd1.shp,SFA,2009/06/03 00:00:00+00,247,493,5.46E-05,0.043407641
Deerhaven WCID,2697100,WCID,Llano,165.9021973,165.874,N,A,2006/03/01 00:00:00+00,,MB,FN,NP,deerhaven_wcid.shp,SFA,2009/06/03 00:00:00+00,150,299,6.31E-05,0.041646645
East Montgomery County MUD 13,2801750,MUD,Montgomery,524.4090451,524.3,N,I,2005/06/21 00:00:00+00,,MB,FN,NP,east_montgomery_mud13.shp,SFA,2009/06/10 00:00:00+00,170,339,0.00019888,0.067001856
Fort Bend County MUD 146,3080007,MUD,Fort Bend,826.8862325,825.0888,N,A,2004/02/18 00:00:00+00,2012/09/05 00:00:00+00,MB,FN,P,fortbendmud146_*.txt,kp,2012/09/20 00:00:00+00,79,157,0.000311841,0.117914298
Fort Bend County MUD 145,3080360,MUD,Fort Bend,128.566716,128.135,N,A,2006/03/01 00:00:00+00,2008/12/29 00:00:00+00,MB,FN,NP,ftbdmud145_*.txt,sae,2009/04/01 00:00:00+00,79,157,4.85E-05,0.043508577
Fort Bend County MUD 21,3079600,MUD,Fort Bend,1040.602539,1040.299,N,A,1977/03/10 00:00:00+00,2008/12/11 00:00:00+00,MB,FN,NP,fortbendmud21_*.txt,sae,2009/04/01 00:00:00+00,79,157,0.000392336,0.128035085
Green Trails MUD,3417700,MUD,Harris,316.148448,316.0587,N,A,1980/10/08 00:00:00+00,2008/12/02 00:00:00+00,MB,FN,NP,greentrailsmud_*.txt,sae,2009/04/01 00:00:00+00,101,201,0.000119341,0.078686836
Faulkey Gully MUD,3028000,MUD,Harris,948.5121693,947.5792,N,A,1973/03/21 00:00:00+00,2008/12/18 00:00:00+00,MB,FN,NP,faulkeygullymud_*.txt,sae,2009/04/01 00:00:00+00,101,201,0.000358891,0.2086395
Emerald Forest Utility District,2875000,MUD,Harris,651.5265472,638.6917,N,A,1971/06/01 00:00:00+00,2008/12/08 00:00:00+00,MB,FN,NP,emeraldforestud_*.txt,sae,2009/04/06 00:00:00+00,101,201,0.000246382,0.156096214
Harris County MUD 536,3747156,MUD,Harris,534.442486,534.72,N,A,2013/06/14 00:00:00+00,2015/11/19 00:00:00+00,MB,FN,P, ,SPT,2018/12/18 00:00:00+00,101,201,0.000201864,0.080443225
Chambers County Improvement District 2,2265400,MMD,Chambers,893.9174501,895.37,N,I,2009/06/19 00:00:00+00,2019/10/09 00:00:00+00,MB,FN,NP,ch,ks,2020/03/30 00:00:00+00,36,71,0.000337471,0.212271017
Ellis County LID 3,2834000,LID,Ellis,7600.959424,0,Y,A,1916/01/14 00:00:00+00,,OSD,MAP,NP,ellis_lid3.shp,SFA,2009/04/15 00:00:00+00,70,139,0.002951969,0.398136598
Reeves County Water Improvement District 2,7250000,WID,Reeves,18630.44783,0,N,A,1933/08/22 00:00:00+00,,MB,FN,NP,reeves_wid2.shp,SFA,2009/06/03 00:00:00+00,195,389,0.007161411,1.001764034
Ellis County FWSD 2,2836001,FWSD,Ellis,1370.011463,1369.7,N,A,2006/12/12 00:00:00+00,,MB,FN,NP,ellis_fwsd2.shp,SFA,2009/06/10 00:00:00+00,70,139,0.000532096,0.13115433
Cameron-Hidalgo-Willacy Regional Water Authority,2252300,OTH,Cameron,989503.5773,0,N,I,2003/06/20 00:00:00+00,,SHP,OTH,NP,cameron_hidalgo_wiallcy_rwa.shp,SFA,2009/09/18 00:00:00+00,31,61,0.361957952,9.913087075
Caldwell County MUD 1,1862500,MUD,Caldwell,3474.025521,3473.37,N,I,2009/06/19 00:00:00+00,,MB,FN,NP,caldwell_co_mud1.shp,SFA,2009/09/18 00:00:00+00,28,55,0.001312077,0.167994567
Brazoria County MUD 65,1636577,MUD,Brazoria,367.3292456,367.24,N,I,2009/06/19 00:00:00+00,,MB,FN,NP,brazoria_co_mud65.shp,SFA,2009/09/18 00:00:00+00,20,39,0.00013807,0.071435394
Harris County MUD 502,3737122,MUD,Harris,882.8774432,882.75,N,A,2007/08/16 00:00:00+00,2015/12/14 00:00:00+00,MB,FN,P, ,SPT,2019/06/10 00:00:00+00,101,201,0.000333827,0.107448711
Waller Town Center Management District,8370000,MMD,Harris,443.3149851,443.1769,N,I,2009/06/19 00:00:00+00,,MB,FN,NP,waller_town_ctr.md.shp,SFA,2009/09/21 00:00:00+00,101,201,0.000167842,0.122468519
Waller County MUD 9,8344532,MUD,Waller,884.0000684,883.8,N,I,2009/06/19 00:00:00+00,,MB,FN,NP,waller_co_mud9.shp,SFA,2009/09/21 00:00:00+00,237,473,0.000334016,0.097258093
Waller County MUD 2,8343125,MUD,Waller,420.0943189,419.987,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,waller_co_mud2.shp,SFA,2009/09/21 00:00:00+00,237,473,0.000158588,0.071992847
Upper Sabine Valley SWMD,8145100,OTH,Upshur,1186343.987,0,OSD,A,1991/05/26 00:00:00+00,,SHP,FN,NP,upper_sabine_valley_swmd.shp,SFA,2009/09/21 00:00:00+00,230,459,0.461884988,3.914027171
Twin Lakes MUD 1 of Kaufman County,8018500,MUD,Kaufman,1081.988558,1084,N,I,2009/06/19 00:00:00+00,,MB,FN,NP,twin_lakes_mud1.shp,SFA,2009/09/21 00:00:00+00,129,257,0.000420854,0.093512006
CY Fair Community Improvement District,2412350,MMD,Harris,106261.2196,0,Y,I,2003/06/20 00:00:00+00,,OSD,OTH,NP,cy_fair_cid.shp,SFA,,101,201,0.040177249,3.100677939
Harris County MUD 503,3737123,MUD,Harris,219.9857691,219.95,N,A,2007/06/26 00:00:00+00,2016/05/13 00:00:00+00,MB,FN,P, ,SPT,2018/12/17 00:00:00+00,101,201,8.32E-05,0.038005115
Harris County MUD 518,3737303,MUD,Harris,469.8008105,469.852,N,A,2008/12/17 00:00:00+00,2021/10/20 00:00:00+00,MB,FN,P, ,gn,2022/02/09 00:00:00+00,101,201,0.000177815,0.124708166
Harris County MUD 525,3737254,MUD,Harris,461.4240567,461.51,N,A,2009/05/27 00:00:00+00,2016/05/16 00:00:00+00,MB,FN,NP, ,SPT,2018/12/17 00:00:00+00,101,201,0.000174503,0.078901938
Waller County Improvement District 2,8340313,MMD,Waller,313.9278832,317.1085,N,A,2013/06/14 00:00:00+00,2016/08/17 00:00:00+00,MB,FN,NP, ,SPT,2020/07/01 00:00:00+00,237,473,0.000118533,0.080573453
El Paso County MUD 3,2859500,MUD,El Paso,236.9038723,235.922,N,I,2008/12/12 00:00:00+00,,MB,FN,P,elpasomud3_*.txt,kp,2009/04/15 00:00:00+00,71,141,9.13E-05,0.072996317
El Paso County MUD 4,2855500,MUD,El Paso,451.9854443,450.12,N,I,2008/12/12 00:00:00+00,,MB,FN,P,elpasomud4_*.txt,kp,2009/04/15 00:00:00+00,71,141,0.00017426,0.053027267
Fort Bend County MUD 198,3075282,MUD,Fort Bend,473.0719358,471.3734,N,I,2009/01/28 00:00:00+00,,MB,FN,P,ftbdmud198.txt,kp,2009/04/15 00:00:00+00,79,157,0.000178499,0.062567915
Canyon Falls MUD 1,2258663,MUD,Denton,173.1234686,172.579,N,I,2008/12/29 00:00:00+00,,MB,FN,P,canyonfallsmud1.txt,sae,2009/04/15 00:00:00+00,61,121,6.77E-05,0.041183632
Montgomery County MUD 103,5857391,MUD,Montgomery,1074.979973,1071.303,N,I,2009/01/27 00:00:00+00,,MB,FN,P,montgomerymud103_*.txt,sae,2009/04/15 00:00:00+00,170,339,0.000406973,0.087411224
Williamson County MUD 15,8664245,MUD,Williamson,435.5654536,433.59,N,A,2007/07/06 00:00:00+00,2015/07/30 00:00:00+00,MB,FN,NP, ,SPT,2020/07/17 00:00:00+00,246,491,0.000165773,0.126149061
Harris County MUD 505,3747150,MUD,Harris,441.0976769,439.41,N,I,2009/03/03 00:00:00+00,,MB,FN,P,harrismud505.txt,kp,2009/04/15 00:00:00+00,101,201,0.000166826,0.055761156
Lavon Special Utility District,5373500,SUD,Collin,13675.68199,13713.88,N,I,2010/09/08 00:00:00+00,,MB,FN,NP,lavonsud.txt,kp,2012/04/10 00:00:00+00,43,85,0.00534014,0.410972255
Brazoria County MUD 2,1635000,MUD,Brazoria,636.7460774,636.5786,N,A,1981/07/16 00:00:00+00,,MB,MAP,P,brazoriamud2_brd.txt,sae,2011/06/22 00:00:00+00,20,39,0.000239886,0.082709237
West Park MUD,8474100,MUD,Harris,443.3383907,441.9413,N,A,1978/10/31 00:00:00+00,2010/12/23 00:00:00+00,MB,FN,P,westparkmud_*.txt,sae,2011/06/22 00:00:00+00,101,201,0.000167398,0.070278657
Harris County MUD 504,3737237,MUD,Harris,496.0829512,494.18,N,I,2009/03/03 00:00:00+00,,MB,FN,P,harrismud504.txt,kp,2009/04/15 00:00:00+00,101,201,0.000187628,0.074115165
Montgomery County MUD 107,5857494,MUD,Montgomery,402.231929,400.6111,N,A,2006/02/14 00:00:00+00,2009/01/26 00:00:00+00,MB,FN,NP,montgomerymud107_*.txt,sae,2009/03/31 00:00:00+00,170,339,0.000152707,0.087985366
Little Cypress Utility District,5443200,WCID,Harrison,627439.4992,0,Y,I,1985/06/14 00:00:00+00,,OSD,OTH,NP,little_cypress_ud.shp,SFA,2009/04/29 00:00:00+00,102,203,0.243761884,3.859206593
Mason County River Authority,5676900,OTH,Mason,597530.5852,0,Y,I,1965/06/17 00:00:00+00,,OSD,FN,NP,mason_ra.shp,SFA,2009/04/29 00:00:00+00,160,319,0.227714029,1.926627478
Montgomery County MUD 101,5857355,MUD,Montgomery,727.6762317,725,Y,I,2005/05/30 00:00:00+00,,OSD,MBFN,NP,montgomery_mud101.shp,SFA,2009/04/29 00:00:00+00,170,339,0.000276574,0.089002809
Navarro County LID 11,5948000,LID,Navarro,3191.002466,0,Y,I,1926/11/26 00:00:00+00,,OSd,MBFN,NP,navarro_11.shp,SFA,2009/04/29 00:00:00+00,175,349,0.001234683,0.221979441
Preston Summit MUD 1,7155510,MUD,Grayson,856.7856745,850.513,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,preston_summit_mud1.shp,SFA,2009/04/29 00:00:00+00,91,181,0.000336442,0.133671339
Wheeler County Water Supply District,8531000,MUD,Wheeler,585670.8405,0,Y,I,1983/09/29 00:00:00+00,,OSD,OTH,NP,wheeler_wsd.shp,SFA,2009/04/29 00:00:00+00,242,483,0.235166177,1.951261706
Northwest Harris County MUD 32,6041706,MUD,Harris,590.0022961,589.3074,N,A,1986/08/13 00:00:00+00,2012/09/13 00:00:00+00,MB,FN,NP,nwharrismud32_*.txt,kp,2013/07/29 00:00:00+00,101,201,0.00022339,0.115992215
Northeast Harris County MUD 1,5980500,MUD,Harris,912.0443109,902.7721,N,A,1978/07/18 00:00:00+00,2008/12/05 00:00:00+00,MB,FN,NP,northeastharrismud1_*.txt,sae,2009/04/29 00:00:00+00,101,201,0.000344629,0.253859139
Harris County MUD 127,3737312,MUD,Harris,380.7563415,379.33,N,A,1975/04/01 00:00:00+00,2008/11/05 00:00:00+00,MB,FN,P,harrismud127_*.txt,sae,2009/05/06 00:00:00+00,101,201,0.000143865,0.059971126
Gunter MUD 1,3754750,MUD,Grayson,404.2504697,404.154,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,gunter_mud1.shp,SFA,2009/06/03 00:00:00+00,91,181,0.000158592,0.063711371
Gunter MUD 2,4049500,MUD,Grayson,657.3097007,657.166,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,gunter_mud2.shp,SFA,2009/06/03 00:00:00+00,91,181,0.000257846,0.073307438
Harris County MUD 437,3737115,MUD,Harris,781.4611937,783.48,N,I,2007/09/01 00:00:00+00,2020/02/11 00:00:00+00,MB,FN,NP,harris_mud437.shp,ks,2020/10/08 00:00:00+00,101,201,0.000295408,0.099614827
Haskell County WSD 1,4420000,OTH,Haskell,71818.86302,0,N,A,1955/04/30 00:00:00+00,,MB,FN,NP,haskell_wsd1.shp,SFA,2009/06/03 00:00:00+00,104,207,0.028145941,0.923612748
Lake Proctor Irrigation Authority,5310950,ID,Comanche,9602.856823,9605.94,N,A,1976/07/14 00:00:00+00,,MB,FN,NP,lake_proctor_ia.shp,SFA,2009/06/03 00:00:00+00,47,93,0.003709041,1.6309194
Tradition MUD 2 of Denton County,7810250,MUD,Denton,1898.44701,1922.737,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,tradition_mud2.shp,SFA,2009/06/03 00:00:00+00,61,121,0.000741869,0.219099559
Triple Creek Municipal Management District,8007000,MMD,Kaufman,1579.41511,1579.952,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,triple_creek_mmd.shp,SFA,2009/06/03 00:00:00+00,129,257,0.000615506,0.173734724
Westside 211 Special Improvement District,8484000,OTH,Bexar,3434.968957,0,N,I,2007/08/30 00:00:00+00,,MB,FN,NP,westside_211_sid.shp,SFA,,15,29,0.00129237,0.331281063
White River MWD,8540000,OTH,Crosby,5499.475951,0,Y,A,1957/07/15 00:00:00+00,,OSD,OTH,NP,white_river_mwd.shp,SFA,,54,107,0.002157686,0.614777258
Willacy County Drainage District 1,8647000,DD,Willacy,122471.1802,0,N,A,1969/03/11 00:00:00+00,,MB,FN,NP,willacy_dd1.shp,SFA,,245,489,0.044833959,1.315853194
Willacy County Navigation District,8650000,ND,Willacy,2027.973654,1760,N,A,1948/02/14 00:00:00+00,,MB,FN,NP,willacy_nd.shp,SFA,,245,489,0.000743357,0.114983985
Brazos Bend Water Authority,1665000,OTH,Brazoria,97875.47475,0,Y,I,1985/06/14 00:00:00+00,,OSD,MAP,NP,brazos_bend_wa.shp,SFA,2009/04/29 00:00:00+00,20,39,0.036861956,1.6334274
East Montgomery County MUD 8,2802600,MUD,Montgomery,314.5803552,314.6,N,I,2005/06/21 00:00:00+00,,MB,FN,NP,east_montgomery_mud8.shp,SFA,2009/04/29 00:00:00+00,170,339,0.000119277,0.044965869
East Montgomery County MUD 9,2802800,MUD,Montgomery,400.0086062,400,N,I,2005/06/21 00:00:00+00,,MB,FN,NP,east_montgomery_mud9.shp,SFA,2009/04/29 00:00:00+00,170,339,0.000151673,0.052852798
East Montgomery County MUD 10,2801875,MUD,Montgomery,400.0169294,400,N,I,2005/06/21 00:00:00+00,,MB,FN,NP,east_montgomery_mud10.shp,SFA,2009/04/29 00:00:00+00,170,339,0.000151709,0.059579352
East Montgomery County MUD 11,2801813,MUD,Montgomery,399.9988145,400,N,I,2005/06/22 00:00:00+00,,MB,FN,NP,east_montgomery_mud11.shp,SFA,2009/04/29 00:00:00+00,170,339,0.000151723,0.059317963
Erath County Development District 1,2890740,OTH,Erath,8325.084892,0,Y,A,2004/09/13 00:00:00+00,,OSD,OTH,NP,erath_dd1.shp,SFA,2009/04/29 00:00:00+00,72,143,0.003219081,0.547798037
Esperanza FWSD 1 of Hudspeth County,2891300,FWSD,Hudspeth,228.6987629,0,Y,I,,,OSD,OTLS,NP,esperanza_fwsd1.shp,SFA,2009/04/29 00:00:00+00,115,229,8.75E-05,0.037966891
Fairfields MUD,2892250,MUD,Kaufman,2564.277617,2662.29,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,fairfields_mud.shp,SFA,2009/04/29 00:00:00+00,129,257,0.000998024,0.281493213
Henderson County LID 1,4423000,LID,Henderson,2934.829529,0,Y,I,1916/06/13 00:00:00+00,,OSD,MAP,NP,henderson_lid1.shp,SFA,2009/04/29 00:00:00+00,107,213,0.001137754,0.151071736
Kerr County-Center Point-WCID,5193000,WCID,Kerr,383.084856,393.01,Y,I,1961/08/27 00:00:00+00,,OSD,MB/OTH,NP,kerr_wcid_centerpoint.shp,SFA,2009/04/29 00:00:00+00,133,265,0.000144864,0.064450367
Knox County Drainage District 1,5198000,DD,Knox,976.0485724,0,N,A,1948/08/09 00:00:00+00,,MB/OTL,FN,NP,knox_dd1.shp,SFA,2009/04/29 00:00:00+00,138,275,0.000383024,0.087224396
Montgomery County WCID 1,5860000,MUD,Montgomery,1035.650489,1010.99883,Y,A,1964/06/15 00:00:00+00,2007/01/11 00:00:00+00,MB,FN,NP,montgomerymudwcid1_*.txt,kp,2011/03/08 00:00:00+00,170,339,0.000392363,0.183594515
Clear Lake City Water Authority,2306000,WCID,Harris,16099.90003,16103.276,N,A,1963/05/06 00:00:00+00,2010/01/14 00:00:00+00,MB,FN,NP,Problems with placement and acreage,kp,2010/08/17 00:00:00+00,101,201,0.006067602,1.153890066
Falls County WCID 1,2893000,WCID,Falls,33906.31795,0,Y,A,1956/10/08 00:00:00+00,,OSD,MAP,NP,falls_wcid1.shp,SFA,2009/06/10 00:00:00+00,73,145,0.013010944,0.64286295
Hardin Store Road MUD 1,3560000,MUD,Montgomery,314.6614516,314.703,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,hardin_store_rd_mud1.shp,SFA,2009/06/10 00:00:00+00,170,339,0.00011924,0.068727722
Lytle Lake WCID,5552000,WCID,Taylor,313.999877,308,Y,A,2000/08/15 00:00:00+00,,OSD,MAP,NP,lytle_lake_wcid.shp,SFA,2009/06/10 00:00:00+00,221,441,0.000121833,0.075177358
Navarro County LID 10,5947000,LID,Navarro,6859.335844,0,Y,I,1920/08/05 00:00:00+00,,OSD,MBFN,NP,navarro_lid10.shp,SFA,2009/06/10 00:00:00+00,175,349,0.002654775,0.288248317
Potter County FWSD 1,7146550,FWSD,Potter,648.5545291,0,Y,I,2003/10/13 00:00:00+00,,OSD,MAP,NP,potter_fwsd1.shp,SFA,2009/06/10 00:00:00+00,188,375,0.000260055,0.067851458
Chambers-Liberty Counties Improvement District,2277500,OTH,Liberty,3221.844772,3245.229,N,I,2007/09/01 00:00:00+00,,MB,FN,NP,chambers_liberty_id.shp,SFA,2009/04/15 00:00:00+00,146,291,0.001217741,0.154829719
Galveston County MUD 64,3202409,MUD,Galveston,92.24817867,91.9438,Y,I,2005/06/17 00:00:00+00,,OSD,FN,NP,galveston_mud64.shp,SFA,2009/04/15 00:00:00+00,84,167,3.47E-05,0.043633106
Riviera WCID,7291500,MUD,Kleberg,300.9480641,0,Y,A,1985/06/13 00:00:00+00,,OSD,MAP,NP,riviera_wcid.shp,SFA,2009/06/10 00:00:00+00,137,273,0.00011103,0.053945559
Ward County Irrigation District 1,8410000,ID,Ward,24500.46908,24000,N,A,1913/10/13 00:00:00+00,,MB,FN,NP,ward_id1.shp,SFA,2009/06/10 00:00:00+00,238,475,0.009408758,0.754850206
